Tony Stark|Stan Lee Jr|Tony mistakes Stan for Hugh Hefner on the red carpet|Iron Man
Tony Stark|Stan Lee Jr|Stan is introduced to Tony as Larry King|Iron Man 2
Happy Hogan|Stan Lee Jr|Happy mistakes Stan for Larry King|Iron Man 2
Senator Brandt|Stan Lee Sr|Stan is present at a ceremony hosted by the senator to honour Captain America|Captain America: The First Avenger
Erik Selvig|Stan Lee Jr|Selvig borrows Stan's shoe for an explanation of the convergence|Thor: The Dark World
Thor|Stan Lee Jr|Thor gives Stan a taste of Asgardian liquor|Avengers: Age of Ultron
Steve Rogers|Stan Lee Jr|Steve is with Thor and Stan when they drink the Asgardian liquor|Avengers: Age of Ultron
Ignacio|Stan Lee Jr|Ignacio ordered drinks from Stan. They agreed that the writer was crazy stupid fine|Ant-Man
Stan Lee Jr|Crazy-stupid-fine Writer|Stan was serving drinks at the bar the writer was at.|Ant-Man
Tony Stark|Stan Lee Jr|Stan delivered Steve's package for Tony Stank|Captain America: Civil War
James Rhodes|Stan Lee Jr|Rhodey was with Tony when Stan delivered Mr Stank's package|Captain America: Civil War
Howard Stark|Stan Lee Sr|Stan borrows the sports section from Howard's newspaper|Agent Carter Season 1
Agent Coulson|Stan Lee Jr|Stan tells Coulson's undercover character that this is his chance to do better|Agents of SHIELD Season 1
Jemma Simmons|Stan Lee Jr|Stan gives his condolences to Simmons' undercover character|Agents of SHIELD Season 1
Doctor Stephen Strange|Stan Lee Jr|Strange passed Stan when running from Kaecilius in mirror New York|Doctor Strange
Karl Mordo|Stan Lee Jr|Mordo passed Stan when running from Kaecilius in mirror New York|Doctor Strange